1D Transient Heat Conduction Solver

Enter Length of slab (L): 1
Enter Number of nodes: 6 
Enter Fourier Number (beta): 0.2
Enter Initial Peak Temp at x=0: 100
Enter Right Boundary Temp: 0
Enter Convergence Tolerance: 0.0001

Grid Info:
Total Nodes: 6
Number of Divisions in slab: 5
Spatial Step (dx): 0.20
 
Step n=232: 1.02, 0.97, 0.82, 0.60, 0.31, 0.00
Step n=233: 1.00, 0.95, 0.81, 0.59, 0.31, 0.00
Step n=234: 0.98, 0.93, 0.79, 0.58, 0.30, 0.00
Step n=235: 0.96, 0.91, 0.78, 0.56, 0.30, 0.00
Step n=236: 0.94, 0.89, 0.76, 0.55, 0.29, 0.00
Step n=237: 0.92, 0.88, 0.75, 0.54, 0.29, 0.00
Step n=238: 0.90, 0.86, 0.73, 0.53, 0.28, 0.00
Step n=239: 0.89, 0.84, 0.72, 0.52, 0.27, 0.00
Step n=240: 0.87, 0.83, 0.70, 0.51, 0.27, 0.00
Step n=241: 0.85, 0.81, 0.69, 0.50, 0.26, 0.00
Step n=242: 0.84, 0.79, 0.68, 0.49, 0.26, 0.00
Step n=243: 0.82, 0.78, 0.66, 0.48, 0.25, 0.00
Step n=244: 0.80, 0.76, 0.65, 0.47, 0.25, 0.00
Step n=245: 0.79, 0.75, 0.64, 0.46, 0.24, 0.00
Step n=246: 0.77, 0.73, 0.62, 0.45, 0.24, 0.00
Step n=247: 0.76, 0.72, 0.61, 0.44, 0.23, 0.00
Step n=248: 0.74, 0.71, 0.60, 0.44, 0.23, 0.00
Step n=249: 0.73, 0.69, 0.59, 0.43, 0.22, 0.00
Step n=250: 0.71, 0.68, 0.58, 0.42, 0.22, 0.00
Step n=251: 0.70, 0.67, 0.57, 0.41, 0.22, 0.00
Step n=252: 0.69, 0.65, 0.55, 0.40, 0.21, 0.00
Step n=253: 0.67, 0.64, 0.54, 0.40, 0.21, 0.00
Step n=254: 0.66, 0.63, 0.53, 0.39, 0.20, 0.00
Step n=255: 0.65, 0.61, 0.52, 0.38, 0.20, 0.00
Step n=256: 0.63, 0.60, 0.51, 0.37, 0.20, 0.00
Step n=257: 0.62, 0.59, 0.50, 0.37, 0.19, 0.00
Step n=258: 0.61, 0.58, 0.49, 0.36, 0.19, 0.00
Step n=259: 0.60, 0.57, 0.48, 0.35, 0.18, 0.00
Step n=260: 0.59, 0.56, 0.47, 0.34, 0.18, 0.00
Step n=261: 0.57, 0.55, 0.46, 0.34, 0.18, 0.00
Step n=262: 0.56, 0.54, 0.46, 0.33, 0.17, 0.00
Step n=263: 0.55, 0.52, 0.45, 0.32, 0.17, 0.00
Step n=264: 0.54, 0.51, 0.44, 0.32, 0.17, 0.00
Step n=265: 0.53, 0.50, 0.43, 0.31, 0.16, 0.00
Step n=266: 0.52, 0.49, 0.42, 0.31, 0.16, 0.00
Step n=267: 0.51, 0.48, 0.41, 0.30, 0.16, 0.00
Step n=268: 0.50, 0.48, 0.40, 0.29, 0.15, 0.00
Step n=269: 0.49, 0.47, 0.40, 0.29, 0.15, 0.00
Step n=270: 0.48, 0.46, 0.39, 0.28, 0.15, 0.00
Step n=271: 0.47, 0.45, 0.38, 0.28, 0.15, 0.00
Step n=272: 0.46, 0.44, 0.37, 0.27, 0.14, 0.00
Step n=273: 0.45, 0.43, 0.37, 0.27, 0.14, 0.00
Step n=274: 0.44, 0.42, 0.36, 0.26, 0.14, 0.00
Step n=275: 0.44, 0.41, 0.35, 0.26, 0.13, 0.00
Step n=276: 0.43, 0.41, 0.35, 0.25, 0.13, 0.00
Step n=277: 0.42, 0.40, 0.34, 0.25, 0.13, 0.00
Step n=278: 0.41, 0.39, 0.33, 0.24, 0.13, 0.00
Step n=279: 0.40, 0.38, 0.33, 0.24, 0.12, 0.00
Step n=280: 0.39, 0.37, 0.32, 0.23, 0.12, 0.00
Step n=281: 0.39, 0.37, 0.31, 0.23, 0.12, 0.00
Step n=282: 0.38, 0.36, 0.31, 0.22, 0.12, 0.00
Step n=283: 0.37, 0.35, 0.30, 0.22, 0.11, 0.00
Step n=284: 0.36, 0.35, 0.29, 0.21, 0.11, 0.00
Step n=285: 0.36, 0.34, 0.29, 0.21, 0.11, 0.00
Step n=286: 0.35, 0.33, 0.28, 0.21, 0.11, 0.00
Step n=287: 0.34, 0.33, 0.28, 0.20, 0.11, 0.00
Step n=288: 0.34, 0.32, 0.27, 0.20, 0.10, 0.00
Step n=289: 0.33, 0.31, 0.27, 0.19, 0.10, 0.00
Step n=290: 0.32, 0.31, 0.26, 0.19, 0.10, 0.00
Step n=291: 0.32, 0.30, 0.26, 0.19, 0.10, 0.00
Step n=292: 0.31, 0.30, 0.25, 0.18, 0.10, 0.00
Step n=293: 0.30, 0.29, 0.25, 0.18, 0.09, 0.00
Step n=294: 0.30, 0.28, 0.24, 0.18, 0.09, 0.00
Step n=295: 0.29, 0.28, 0.24, 0.17, 0.09, 0.00
Step n=296: 0.29, 0.27, 0.23, 0.17, 0.09, 0.00
Step n=297: 0.28, 0.27, 0.23, 0.17, 0.09, 0.00
Step n=298: 0.28, 0.26, 0.22, 0.16, 0.09, 0.00
Step n=299: 0.27, 0.26, 0.22, 0.16, 0.08, 0.00
Step n=300: 0.27, 0.25, 0.21, 0.16, 0.08, 0.00
Step n=301: 0.26, 0.25, 0.21, 0.15, 0.08, 0.00
Step n=302: 0.26, 0.24, 0.21, 0.15, 0.08, 0.00
Step n=303: 0.25, 0.24, 0.20, 0.15, 0.08, 0.00
Step n=304: 0.25, 0.23, 0.20, 0.14, 0.08, 0.00
Step n=305: 0.24, 0.23, 0.19, 0.14, 0.07, 0.00
Step n=306: 0.24, 0.22, 0.19, 0.14, 0.07, 0.00
Step n=307: 0.23, 0.22, 0.19, 0.14, 0.07, 0.00
Step n=308: 0.23, 0.22, 0.18, 0.13, 0.07, 0.00
Step n=309: 0.22, 0.21, 0.18, 0.13, 0.07, 0.00
Step n=310: 0.22, 0.21, 0.18, 0.13, 0.07, 0.00
Step n=311: 0.21, 0.20, 0.17, 0.13, 0.07, 0.00
Step n=312: 0.21, 0.20, 0.17, 0.12, 0.06, 0.00
Step n=313: 0.21, 0.20, 0.17, 0.12, 0.06, 0.00
Step n=314: 0.20, 0.19, 0.16, 0.12, 0.06, 0.00
Step n=315: 0.20, 0.19, 0.16, 0.12, 0.06, 0.00
Step n=316: 0.19, 0.18, 0.16, 0.11, 0.06, 0.00
Step n=317: 0.19, 0.18, 0.15, 0.11, 0.06, 0.00
Step n=318: 0.19, 0.18, 0.15, 0.11, 0.06, 0.00
Step n=319: 0.18, 0.17, 0.15, 0.11, 0.06, 0.00
Step n=320: 0.18, 0.17, 0.14, 0.11, 0.06, 0.00
Step n=321: 0.18, 0.17, 0.14, 0.10, 0.05, 0.00
Step n=322: 0.17, 0.16, 0.14, 0.10, 0.05, 0.00
Step n=323: 0.17, 0.16, 0.14, 0.10, 0.05, 0.00
Step n=324: 0.17, 0.16, 0.13, 0.10, 0.05, 0.00
Step n=325: 0.16, 0.15, 0.13, 0.10, 0.05, 0.00
Step n=326: 0.16, 0.15, 0.13, 0.09, 0.05, 0.00
